#U/V    I_A/mA
0,0.000
5,0.012
10,0.028
15,0.048
20,0.072
25,0.098
30,0.131
35,0.169
40,0.207
45,0.248
50,0.289
55,0.336
60,0.382
70,0.476
80,0.578
90,0.673
100,0.774
110,0.918
120,1.025
130,1.126
140,1.229
150,1.337
160,1.432
170,1.538
180,1.632
190,1.717
200,1.807
210,1.892
220,1.971
230,2.05
240,2.12
250,2.18
