x/cm, B/mT
-2.5, 0.134
-2, 0.162
-1.5, 0.2
-1, 0.254
-0.5, 0.334
0, 0.451
0.5, 0.601
1, 0.821
1.5, 1.085
2, 1.370
2.5, 1.610
3, 1.779
3.5, 1.904
4, 1.988
4.5, 2.048
5, 2.092
5.5, 2.120
6, 2.148
12.5, 2.203
13, 2.182
13.5, 2.160
14, 2.129
14.5, 2.094
15, 2.026
15.5, 1.937
16, 1.823
16.5, 1.667
17, 1.454
17.5, 1.174
18, 0.896
19, 0.455
19.5, 0.331
20, 0.106
